v
"(:Victim {Ethnicity: NOT_HISPANIC_OR_LATINO,CCNumber: 23I01109,Race: BLACK_OR_AFRICAN_AMERICAN,Gender: M,Age: 52})"
"(:Victim {Ethnicity: UNKNOWN,CCNumber: 23D07561,Race: WHITE,Gender: F,Age: 26})"
"(:Victim {Ethnicity: NOT_HISPANIC_OR_LATINO,CCNumber: 23H07377,Race: BLACK_OR_AFRICAN_AMERICAN,Gender: F,Age: 41})"
"(:Victim {Ethnicity: NOT_HISPANIC_OR_LATINO,CCNumber: 24C07918,Race: BLACK_OR_AFRICAN_AMERICAN,Gender: F,Age: 25})"
"(:Victim {Ethnicity: NOT_HISPANIC_OR_LATINO,CCNumber: 23L35651,Race: BLACK_OR_AFRICAN_AMERICAN,Gender: M,Age: 29})"
"(:Victim {Ethnicity: NOT_HISPANIC_OR_LATINO,CCNumber: 23G00230,Race: BLACK_OR_AFRICAN_AMERICAN,Gender: M,Age: 18})"
"(:Victim {Ethnicity: NOT_HISPANIC_OR_LATINO,CCNumber: 23H05856,Race: BLACK_OR_AFRICAN_AMERICAN,Gender: F,Age: 20})"
"(:Victim {Ethnicity: UNKNOWN,CCNumber: 22G07464,Race: BLACK_OR_AFRICAN_AMERICAN,Gender: M,Age: 36})"
"(:Victim {Ethnicity: NOT_HISPANIC_OR_LATINO,CCNumber: 23D04936,Race: BLACK_OR_AFRICAN_AMERICAN,Gender: M,Age: 31})"
"(:Victim {Ethnicity: UNKNOWN,CCNumber: 23I02637,Race: WHITE,Gender: F,Age: 31})"
"(:Victim {Ethnicity: NOT_HISPANIC_OR_LATINO,CCNumber: 23D07464,Race: WHITE,Gender: M,Age: 63})"
"(:Victim {Ethnicity: NOT_HISPANIC_OR_LATINO,CCNumber: 21K02750,Race: BLACK_OR_AFRICAN_AMERICAN,Gender: F,Age: 42})"
"(:Victim {Ethnicity: NOT_HISPANIC_OR_LATINO,CCNumber: 23E08559,Race: BLACK_OR_AFRICAN_AMERICAN,Gender: M,Age: 14})"
"(:Victim {Ethnicity: NOT_HISPANIC_OR_LATINO,CCNumber: 21I03993,Race: BLACK_OR_AFRICAN_AMERICAN,Gender: M,Age: 39})"
"(:Victim {Ethnicity: UNKNOWN,CCNumber: 24H02628,Race: BLACK_OR_AFRICAN_AMERICAN,Gender: F,Age: 48})"
"(:Victim {Ethnicity: UNKNOWN,CCNumber: 24B09441,Race: BLACK_OR_AFRICAN_AMERICAN,Gender: M,Age: 37})"
"(:Victim {Ethnicity: NOT_HISPANIC_OR_LATINO,CCNumber: 23I02359,Race: WHITE,Gender: F,Age: 26})"
"(:Victim {Ethnicity: NOT_HISPANIC_OR_LATINO,CCNumber: 22H07197,Race: BLACK_OR_AFRICAN_AMERICAN,Gender: M,Age: 16})"
"(:Victim {Ethnicity: NOT_HISPANIC_OR_LATINO,CCNumber: 21L07729,Race: BLACK_OR_AFRICAN_AMERICAN,Gender: M,Age: 39})"
"(:Victim {Ethnicity: UNKNOWN,CCNumber: 23H10763,Race: BLACK_OR_AFRICAN_AMERICAN,Gender: M,Age: 40})"
"(:Victim {Ethnicity: NOT_HISPANIC_OR_LATINO,CCNumber: 24H05530,Race: BLACK_OR_AFRICAN_AMERICAN,Gender: M,Age: 34})"
"(:Victim {Ethnicity: NOT_HISPANIC_OR_LATINO,CCNumber: 23E02632,Race: BLACK_OR_AFRICAN_AMERICAN,Gender: M,Age: 54})"
"(:Victim {Ethnicity: NOT_HISPANIC_OR_LATINO,CCNumber: 23I07949,Race: BLACK_OR_AFRICAN_AMERICAN,Gender: F,Age: 35})"
"(:Victim {Ethnicity: NOT_HISPANIC_OR_LATINO,CCNumber: 23E00065,Race: BLACK_OR_AFRICAN_AMERICAN,Gender: M,Age: 16})"
"(:Victim {Ethnicity: NOT_HISPANIC_OR_LATINO,CCNumber: 22A07270,Race: BLACK_OR_AFRICAN_AMERICAN,Gender: F,Age: 42})"
"(:Victim {Ethnicity: NOT_HISPANIC_OR_LATINO,CCNumber: 24C03820,Race: BLACK_OR_AFRICAN_AMERICAN,Gender: F,Age: 28})"
"(:Victim {Ethnicity: UNKNOWN,CCNumber: 24B06268,Race: WHITE,Gender: M,Age: 22})"
"(:Victim {Ethnicity: NOT_HISPANIC_OR_LATINO,CCNumber: 22B03285,Race: BLACK_OR_AFRICAN_AMERICAN,Gender: F,Age: 32})"
"(:Victim {Ethnicity: NOT_HISPANIC_OR_LATINO,CCNumber: 21G04471,Race: WHITE,Gender: F,Age: 31})"
"(:Victim {Ethnicity: NOT_HISPANIC_OR_LATINO,CCNumber: 23F04478,Race: BLACK_OR_AFRICAN_AMERICAN,Gender: M,Age: 8})"
